E E E E E E F F F F F F F F F F F F F F F F F F F F F F F F F F 
E A A A A E E E E E E E E E E E E E E E E E E E E E E E E E E E
E A 5 A A E E E E E E E E E E E E E E E E E E E E E E E E E W E
E E E E A E E E E E E E E E E E E E E E E E E E E E E E E E W E
E A A A A E E E A A A A A A A A A A A A A A A A A A A A A 3 W E
E A A A A E E E A A A A F F F F F F F F F F F F F F F F F E W E
E A A A A E E E A A A A F F F F F F F F E E E F F F F F F E W E
E A A A A E E E A A A A F F F F E E F F F F F F F F F F F E W E
E A A A A E E E A A A A F F F F F F F F F F F F F F F F F E W E
E A A A A E E E A A A A F F F F F F E F F F F F F F E F F E W E
E A A A A E E E A A A A F F F F F F F F F F F F F F E F F E W E
E A A A A E E E A A A A F F F F F F F F F F F F F F E F F E W E
E A A A A E E E A A A A F F F E F F F F F F E F F F E F F E W E
E A A A A E E E A A A A F F F F F F F F F F F F F F E F F E W E
E A 0 A A A A A A A A 4 F F F F F F F F F F F F F F E F F E W E
E E E E E E A A A E E E E E E E E E E E E E E E E E E E E E W E
E 2 W W W W W A A A A A A A A A A A A A 1 W W W W W W W W W W E
E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E
